site,barcode,fstation,sitetype,stratum,sdate,stime,fdate,ftime,pool,lcode,gear,period,rep,summary,project,effdist,effhr,effmin,pwrgoal,pwrused,volts,v_qf,amps,a_qf,pulses,p_qf,dutycyc,dc_qf,utmzone,utm_e,utm_n,gisgrid,zone15e,zone15n,gpsmeth,gpsacc,secchi,s_qf,temp,t_qf,depth,d_qf,cond,c_qf,current,cv_qf,do,do_qf,stageht,sh_qf,sveg92,vegd,eveg92,esveg92,substrt,snag,wingdyke,trib,riprap,inout,closing,flooded,othrstrc,labind,contanrs,shtcnt,totfishc,leader,pageno,rec_site,rownum,fishcode,length,tfs,grp_wdth,catch,weight,pathcode,subproj,userdef,recorder,nfsh_cnt,orphflag,batchno
BATH CHUTE,16008463,6,0,SCB,08/16/2006,10:55,08/16/2006,11:10,LG,D34.RS,D,2,,5.0,M-,200,0,15,5538,5440,160,,34.00,,60.00,,25,,15,743683,4454315,74370.45410,743683,4454315,1,1.0,16,,26.6,,1.00,,750,,0.02,,5.0,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,63,,1,1,50,SVCP,550,T,1,1,, ,  ,          F,,,0,2601
BATH CHUTE,16009014,6,0,SCB,10/15/2007,09:22,10/15/2007,09:37,LG,D15.RS,D,3,,5.0,M-,200,0,15,5161,5060,220,,23.00,,60.00,,25,,15,741283,4452265,74130.45205,741283,4452265,1,1.0,29,,17.5,,1.00,,808,,0.03,,7.4,,,,,,,0,4,1,0,0,0,0,0,0,0,,0,,147,,1,1,56,SVCP,476,T,,1,1206.00,,,,,,0,2701
MACKINAW,16009144,6,0,MCB-U,08/12/2008,09:25,08/12/2008,09:40,LG,D30.RS,D,2,,5.0,M-,200,0,15,5631,5700,190,,30.00,,60.00,,25,,15,777083,4494315,77710.49410,777083,4494315,2,1.0,18,,26.2,,0.60,,783,,0.15,,5.7,,,,,,,0,3,0,0,1,0,0,0,0,0,,0,,252,,1,1,71,SVCP,210,T,1,2,,,,,,,0,2704
TOWHEAD SC,16006320,6,0,SCB,08/13/2001,08:40,08/13/2001,08:55,LG,D10.RS,D,2,,5.0,M-,200,0,15,5500,5280,160,,33.00,,60.00,,25,,15,749583,4466865,74960.46665,749583,4466865,2,0.2,21,,28.6,,0.50,,722,,0.05,,4.6,,,5,,,,0,1,0,0,0,0,0,0,0,1,,0,3,90,470,1,1,1,SVCP,370,,1,1,,,,,470,13,0,2102
MATANZAS,16013433,6,1,BWC-S,08/28/2017,13:28,08/29/2017,12:00,LG,F180A.RS,M,2,,7.0,M-,,22,32,,,,,,,,,,,15,745633,4458615,,745633,4458615,2,1.0,14,,25.4,,0.60,,480,,0.00,,10.6,,,,,,,0,2,0,0,0,0,0,0,1,0,,1,,183,,1,2,14,SVCP,20,T,1,2,,,,,,,0,2715
RM 123,16013539,6,0,MCB-U,08/01/2018,07:22,08/01/2018,07:37,LG,D6.RS,D,2,,5.0,M-,200,0,15,5400,5440,170,,32.00,,60.00,,25,,15,750383,4470565,,750383,4470565,2,1.0,19,,25.0,,1.10,,750,,0.20,,5.4,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,309,,1,1,2,SVCP,510,T,1,1,,,,,,,0,2716
BAR ISLAND,16013637,6,0,SCB,09/19/2018,08:45,09/19/2018,09:00,LG,D24.RS,D,3,,5.0,M-,200,0,15,5105,5040,180,,28.00,,60.00,,25,,15,714533,4430965,,714533,4430965,2,1.0,22,,26.8,,0.80,,663,,0.30,,6.5,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,53,,1,1,1,SVCP,581,T,,1,1976.00,,,,,,0,2716
MEYERS DITCH,16013668,6,1,BWC-S,09/27/2018,12:09,09/27/2018,12:24,LG,F134A.RS,D,3,,5.0,M-,200,0,15,5020,5070,195,,26.00,,60.00,,25,,15,755933,4475215,,755933,4475215,2,1.0,19,,22.6,,1.90,,697,,0.01,,8.3,,,,,,,0,2,1,0,0,1,0,0,0,0,,0,,108,,1,1,33,SVCP,468,T,,1,1025.00,,,,,,0,2716
BATH CHUTE,16014543,6,0,SCB,09/08/2020,09:00,09/08/2020,09:15,LG,D19.RS,D,2,,5.0,M-,200,0,15,5448,5200,200,,26.00,,60.00,,25,,15,742183,4452965,,742183,4452965,2,1.0,24,,24.7,,2.30,,760,,0.24,,11.7,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,81,,1,1,20,SVCP,590,T,1,1,, ,  ,    M,,,0,2718
Peoria TWZ,16014766,6,2,TWZ,10/27/2020,09:00,10/27/2020,09:15,LG,I157.8Vb,D,3,,5.0,M-,200,0,15,4708,4800,200,,24.00,,60.00,,25,,16,277612,4500954,,785073,4503093,1,1.0,57,,8.5,,5.20,,895,,0.24,,10.5,,,,,,,0,3,1,0,0,1,0,0,0,0,,0,,44,,1,2,33,SVCP,594,T,,1,2219.00, ,  ,    M,,,0,2718
Peoria TWZ,16012684,6,2,TWZ,09/20/2016,09:07,09/20/2016,09:22,LG,I157.8Va,D,3,,5.0,M-,200,0,15,4744,4730,215,,22.00,,60.00,,25,,16,277612,4500954,78505.50310,785074,4503093,1,1.0,24,,24.5,,4.80,,624,,0.01,,6.6,,,,,,,0,2,0,0,0,1,0,0,0,0,,0,,89,,1,1,47,SVCP,314,T,,1,287.00,,,,,,0,2714
RM 112,16012785,6,0,MCB-U,06/20/2016,08:50,06/22/2016,09:43,LG,HL6.RS,HL,1,,5.0,M-,,48,53,,,,,,,,,,,15,741983,4456065,74200.45605,741983,4456065,2,1.0,24,,28.0,,2.40,,735,,0.34,,5.2,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,5,,1,1,4,SVCP,760,T,1,1,,,,,,,0,2714
BATH CHUTE,16013060,6,0,SCB,08/22/2017,12:30,08/23/2017,07:43,LG,M10.RS,M,2,,5.0,M-,,19,13,,,,,,,,,,,15,743833,4454565,,743833,4454565,2,1.0,19,,26.8,,1.20,,687,,0.30,,6.2,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,26,,1,1,17,SVCP,10,T,1,1,,,,,,,0,2715
Peoria TWZ,16013069,6,2,TWZ,08/10/2017,10:40,08/10/2017,10:55,LG,I157.8Va,D,2,,5.0,M-,200,0,15,5190,5040,210,,24.00,,60.00,,25,,16,277612,4500954,,785074,4503093,2,1.0,25,,25.7,,3.40,,693,,0.34,,6.3,,,,,,,0,4,0,0,0,1,0,0,0,0,,0,,469,,1,2,102,SVCP,10,T,1,1,,,,,,,0,2715
BATH CHUTE,16013248,6,0,SCB,07/07/2017,12:12,07/07/2017,12:27,LG,D21.RS,D,1,,5.0,M-,200,0,15,5665,5510,190,,29.00,,60.00,,25,,15,741283,4452215,,741283,4452215,2,1.0,25,,28.8,,3.30,,748,,0.53,,5.7,,,,,,,0,2,1,0,0,0,0,0,0,0,,1,,55,,1,1,4,SVCP,620,T,1,1,,,,,,,0,2715
MATANZAS,16013411,6,0,BWC-S,10/10/2017,08:15,10/10/2017,08:30,LG,D29.RS,D,3,,5.0,M-,200,0,15,3914,3780,210,,18.00,,60.00,,25,,15,746383,4458965,,746383,4458965,2,1.0,15,,20.5,,0.80,,476,,0.00,,6.6,,,,,,,0,2,1,0,0,0,0,0,0,1,,0,,171,,1,1,81,SVCP,550,T,,1,1583.00,,,,,,0,2715
RM 139,16011312,6,0,MCB-U,09/19/2013,07:53,09/19/2013,08:08,LG,D2.RS,D,3,,5.0,M-,200,0,15,5883,5940,220,,27.00,,60.00,,25,,15,764683,4489065,76470.48885,764682,4489065,2,1.0,19,,22.7,,1.00,,884,,,5,5.9,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,165,,1,1,1,SVCP,515,T,,1,1415.00,,,,,,0,2710
Peoria TWZ,16011689,6,2,TWZ,07/21/2014,08:23,07/22/2014,09:28,LG,I157.8Vb,M,1,,5.0,M-,,25,5,,,,,,,,,,,16,277612,4500954,,785074,4503093,2,1.0,33,,25.3,,0.80,,636,,0.57,,7.2,,,,,,,0,3,0,0,0,0,0,0,1,0,,0,,61353,,1,1,28,SVCP,10,T,1,42,,,,,,,0,2711
Bath Fixed,16011715,6,2,SCB,08/07/2014,08:07,08/08/2014,09:03,LG,I113.0Ta,M,2,,5.0,M-,,24,56,,,,,,,,,,,15,743477,4455118,,743477,4455118,2,1.0,21,,26.1,,0.80,,714,,0.28,,3.6,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,1392,,1,1,411,SVCP,20,T,1,11,,,,,,,0,2711
MEYERS DITCH,16011728,6,1,BWC-S,08/13/2014,13:28,08/14/2014,07:27,LG,F132A.RS,M,2,,5.0,M-,,17,59,,,,,,,,,,,15,756233,4475715,,756233,4475715,2,1.0,9,,26.7,,1.00,,706,,0.05,,6.3,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,1536,,1,1,126,SVCP,40,T,1,5,,,,,,,0,2711
BATH CHUTE,16011972,6,0,SCB,08/07/2014,11:00,08/07/2014,11:15,LG,D16.RS,D,2,,5.0,M-,200,0,15,5361,5330,205,,26.00,,60.00,,25,,15,743183,4453165,,743183,4453165,2,1.0,21,,25.7,,1.10,,728,,0.25,,2.0,,,,,,,0,2,1,0,0,1,0,0,0,1,,0,,822,,1,2,68,SVCP,30,T,1,306,,,,,,,0,2711
Bath Fixed,16012565,6,2,SCB,07/22/2016,09:03,07/22/2016,09:18,LG,I113.0Ta,D,1,,5.0,M-,200,0,15,5562,5510,190,,29.00,,60.00,,25,,15,743477,4455118,74350.45510,743477,4455118,2,1.0,17,,28.9,,3.50,,728,,0.57,,5.0,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,35,,1,1,6,SVCP,620,T,1,2,,,,,,,0,2714
BATH CHUTE,16009816,6,0,SCB,10/09/2009,12:11,10/09/2009,12:26,LG,D12.RS,D,3,,5.0,M-,200,0,15,4845,4758,183,,26.00,,60.00,,25,,15,743533,4454215,74355.45400,743533,4454215,2,2.0,22,,14.6,,0.50,,783,,0.10,,8.4,,,,,,,0,1,0,0,0,0,0,0,0,0,,0,,98,,1,1,66,SVCP,370,T,,1,481.00,,,,,,0,2706
BATH CHUTE,16009816,6,0,SCB,10/09/2009,12:11,10/09/2009,12:26,LG,D12.RS,D,3,,5.0,M-,200,0,15,4845,4758,183,,26.00,,60.00,,25,,15,743533,4454215,74355.45400,743533,4454215,2,2.0,22,,14.6,,0.50,,783,,0.10,,8.4,,,,,,,0,1,0,0,0,0,0,0,0,0,,0,,98,,1,1,75,SVCP,380,T,,1,552.00,,,,,,0,2706
HAVANA,16009820,6,0,MCB-U,10/12/2009,10:33,10/12/2009,10:48,LG,D1.RS,D,3,,5.0,M-,200,0,15,4581,4400,200,,22.00,,60.00,,25,,15,748183,4463015,74820.46280,748183,4463015,2,2.0,30,,11.6,,0.50,,768,,0.09,,8.2,,,,,,,0,1,1,0,0,0,0,0,0,1,,0,,72,,1,1,52,SVCP,321,T,,1,274.00,,,,,,0,2706
BROWNING MC,16009834,6,0,MCB-U,10/14/2009,09:10,10/14/2009,09:25,LG,D33.RS,D,3,,5.0,M-,200,0,15,4469,4200,200,,21.00,,60.00,,25,,15,724133,4444765,72415.44455,724133,4444765,2,2.0,27,,10.6,,0.60,,755,,0.10,,9.5,,,,,,,0,4,1,0,0,0,0,0,0,0,,0,,48,,1,1,25,SVCP,240,T,1,1,,,,,,,0,2706
Bath Fixed,16010108,6,2,SCB,08/16/2010,08:41,08/17/2010,08:36,LG,I113.0Ta,M,2,,5.0,M-,,23,55,,,,,,,,,,,15,743477,4455118,74350.45490,743477,4455118,2,1.0,20,,28.4,,1.00,,624,,0.16,,3.8,,,,,,,0,1,0,0,0,0,0,0,0,0,,0,,46,,1,1,1,SVCP,420,T,1,1,,,,,,,0,2707
MATANZAS,16010791,6,1,BWC-S,08/16/2012,11:21,08/16/2012,11:36,LG,F155A.RS,D,2,,5.0,M-,200,0,15,4390,4000,200,,20.00,,60.00,,25,,15,745933,4459415,74595.45920,745933,4459415,2,1.0,,5,24.7,,0.80,,536,,0.01,,8.7,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,88,,1,1,16,SVCP,470,T,1,1,,,,,,,0,2709
MATANZAS,16009267,6,1,BWC-S,08/01/2008,10:22,08/01/2008,10:37,LG,F365A.RS,D,2,,5.0,M-,200,0,15,4586,4400,200,,22.00,,60.00,,25,,15,746233,4458815,74625.45860,746233,4458815,2,2.0,20,,28.5,,0.50,,547,,0.00,,2.2,,,,,,,0,3,0,0,0,0,0,0,0,0,,0,,210,,1,1,57,SVCP,170,T,1,1,,,,,,,0,2704
TOWHEAD,16009309,6,0,SCB,08/06/2008,10:30,08/06/2008,10:45,LG,D14.RS,D,2,,5.0,M-,200,0,15,3562,3680,160,,23.00,,60.00,,25,,15,749583,4466865,74960.46665,749583,4466865,2,1.0,12,,28.9,,1.00,,323,,,5,5.2,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,274,,1,1,11,SVCP,90,T,1,1,,,,,,,0,2704
Bar Island,16009430,6,0,SCB,10/03/2008,11:48,10/03/2008,12:03,LG,D9.RS,D,3,,7.0,M-,200,0,15,3905,4000,200,,20.00,,60.00,,25,,15,714383,4430865,71440.43065,714383,4430865,2,2.0,33,,19.0,,1.10,,484,,0.23,,6.5,,,,,,,0,3,1,0,0,0,0,0,1,0,,0,,19,,1,1,16,SVCP,97,T,,1,8.00,,,,,,0,2704
MEYERS D,16009528,6,0,BWC-S,08/18/2009,08:50,08/18/2009,09:05,LG,D17.RS,D,2,,5.0,M-,200,0,15,4298,4255,185,,23.00,,60.00,,25,,15,757283,4476515,75730.47630,757283,4476515,2,1.0,6,,23.5,,0.60,,526,,0.00,,6.2,,,,,,,0,1,0,0,0,0,0,0,0,0,,0,,80,,1,1,21,SVCP,375,T,,1,528.00,,,,,,0,2706
MEYERS DITCH,16009562,6,1,BWC-S,09/22/2009,09:45,09/22/2009,10:00,LG,F60A.RS,D,3,,5.0,M-,200,0,15,3999,4000,200,,20.00,,60.00,,25,,15,756433,4475965,75645.47575,756433,4475965,2,1.0,16,,20.6,,0.70,,487,,0.00,,7.9,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,118,,1,1,69,SVCP,405,T,,1,601.00,,,,,,0,2706
Bath Fixed,16009812,6,2,SCB,10/09/2009,11:01,10/09/2009,11:16,LG,I113.0Tb,D,3,,5.0,M-,200,0,15,4789,4680,180,,26.00,,60.00,,25,,15,743477,4455118,74350.45490,743477,4455118,2,2.0,24,,14.4,,0.80,,787,,0.17,,8.6,,,,,,,0,4,1,0,0,0,0,0,0,0,,0,,128,,1,1,64,SVCP,285,T,,1,232.00,,,,,,0,2706
crystal lake,16008020,6,1,BWC-S,10/21/2004,09:00,10/21/2004,09:15,LG,F20A.RS,D,3,,5.0,M-,200,0,15,5554,5600,200,,28.00,,60.00,,25,,15,782034,4494115,78205.49390,782034,4494115,1,1.0,38,,13.7,,1.50,,990,,0.00,,9.0,,,,,,,0,4,0,0,0,0,0,0,0,1,,0,,160,,1,1,9,SVCP,402,T,,1,733.00,,,,,,0,2401
TREADWAY,16008202,6,1,BWC-S,09/27/2005,12:45,09/27/2005,13:00,LG,F375A.RS,D,3,,5.0,M-,200,0,15,5595,5550,185,,30.00,,60.00,,25,,15,722283,4438665,72230.43845,722283,4438665,2,1.0,15,,22.9,,0.90,,822,,0.00,,3.3,,,,,,,0,4,1,0,0,0,0,0,0,0,,0,,185,,1,1,141,SVCP,486,T,,1,1285.00, ,  ,          I,,,0,2501
MATANZAS MCB,16009050,6,0,MCB-U,09/26/2007,13:23,09/26/2007,13:38,LG,D32.RS,D,3,,5.0,M-,200,0,15,5386,5400,180,,30.00,,60.00,,25,,15,747383,4462215,74740.46200,747383,4462215,2,1.0,26,,24.7,,0.80,,747,,0.00,,8.2,,,,,,,0,3,0,0,0,0,0,0,0,0,,0,,1218,,1,1,8,SVCP,140,T,1,1,,,,,,,0,2701
BATH CHUTE,16009051,6,0,SCB,09/25/2007,07:30,09/25/2007,07:45,LG,D18.RS,D,3,,5.0,M-,200,0,15,5352,5250,175,,30.00,,60.00,,25,,15,738633,4449615,73865.44940,738633,4449615,1,2.0,19,,25.4,,0.50,,740,,0.05,,7.9,,,,,,,0,1,1,0,0,0,0,0,0,0,,0,,595,,1,1,48,SVCP,30,T,1,134,,,,,,,0,2701
Bath Fixed,16009131,6,2,SCB,08/04/2008,09:05,08/04/2008,09:20,LG,I113.0Ta,D,2,,5.0,M-,200,0,15,5581,5400,180,,30.00,,60.00,,25,,15,743477,4455118,74350.45490,743477,4455118,1,1.0,16,,28.4,,0.70,,745,,0.08,,6.4,,,,,,,0,4,0,0,0,0,0,0,0,0,,0,,150,,1,1,110,SVCP,200,T,1,1,,,,,,,0,2704
POWERTON,16009245,6,0,MCB-U,07/02/2008,09:13,07/02/2008,09:28,LG,D28.RS,D,1,,5.0,M-,200,0,15,5337,5700,228,,25.00,,60.00,,25,,15,778884,4494965,77890.49475,778884,4494965,2,1.0,27,,25.9,,1.00,,723,,0.05,,7.0,,,,,,,0,4,1,0,0,0,0,0,1,0,,0,,7448,,1,1,18,SVCP,30,T,1,308,,,,,,,0,2704
MEYERS DITCH,16013664,6,1,BWC-S,09/27/2018,13:35,09/27/2018,13:50,LG,F128A.RS,D,3,,5.0,M-,200,0,15,4053,4000,200,,20.00,,60.00,,25,,15,756983,4476515,,756983,4476515,2,1.0,18,,20.6,,0.80,,500,,0.00,,11.8,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,78,,1,1,67,SVCP,114,T,,1,12.00,,,,,,0,2716
Peoria TWZ,16013868,6,2,TWZ,10/19/2018,09:12,10/19/2018,09:27,LG,I157.8Vb,D,3,,5.0,M-,200,0,15,4149,4300,215,,20.00,,60.00,,25,,16,277612,4500954,,,,1,1.0,34,,12.1,,4.40,,643,,0.36,9,9.9,,,,,,,0,4,0,0,0,1,0,0,0,0,,0,,59,,1,1,14,SVCP,574,T,,1,1872.00,,,,,,0,2716
PEKIN MARINA,16014620,6,1,BWC-S,09/24/2020,12:19,09/24/2020,12:34,LG,F27A.RS,D,3,,5.0,M-,200,0,15,5501,5760,180,,32.00,,60.00,,25,,15,783334,4497215,,783334,4497215,2,1.0,24,,24.5,,1.00,,786,,0.01,5,6.7,,,,,,,0,2,1,0,0,1,0,0,0,0,,0,,102,,1,1,37,SVCP,486,T,,1,1098.00, ,  ,    F,,,0,2718
Bath Fixed,16012250,6,2,SCB,10/12/2015,08:13,10/12/2015,08:28,LG,I113.0Tb,D,3,,5.0,M-,200,0,15,4877,4800,200,,24.00,,60.00,,25,,15,743477,4455118,74350.45510,743477,4455118,2,1.0,29,,18.3,,2.30,,739,,0.25,,7.3,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,131,,1,1,17,SVCP,558,T,,1,1677.00,,,,,,0,2713
BATH CHUTE,16012544,6,0,SCB,06/24/2016,07:56,06/24/2016,08:11,LG,D21.RS,D,1,,5.0,M-,200,0,15,4650,4620,210,,22.00,,60.00,,25,,15,743433,4453665,74345.45365,743433,4453665,2,1.0,10,,27.7,,2.50,,636,,0.38,,4.4,,,,,,,0,2,1,0,0,0,0,0,0,0,,1,,78,,1,1,1,SVCP,560,T,1,2,,,,,,,0,2714
GRAPE ISLAND,16012622,6,0,SCB,08/23/2016,11:59,08/23/2016,12:14,LG,D22.RS,D,2,,5.0,M-,200,0,15,4598,4620,210,,22.00,,60.00,,25,,15,715583,4431265,71560.43125,715583,4431265,1,1.0,17,,25.6,,1.10,,570,,0.51,,7.1,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,100,,1,1,3,SVCP,540,T,1,1,,,,,,,0,2714
RM 87,16012910,6,0,MCB-U,08/08/2016,10:24,08/09/2016,10:26,LG,M6.RS,M,2,,5.0,M-,,24,2,,,,,,,,,,,15,716583,4431865,71660.43185,716583,4431865,2,1.0,18,,29.0,,0.90,,661,,0.12,,5.5,,,,,,,0,2,0,0,0,0,0,0,0,0,,1,,96,,1,1,2,SVCP,30,T,1,1,,,,,,,0,2714
Bath Fixed,16012951,6,2,SCB,10/06/2016,10:32,10/06/2016,10:47,LG,I113.0Tb,D,3,,5.0,M-,200,0,15,5152,4945,215,,23.00,,60.00,,25,,15,743477,4455118,74350.45510,743477,4455118,2,1.0,21,,20.7,,3.80,,756,,0.47,,6.8,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,102,,1,1,8,SVCP,583,T,,1,2104.00,,,,,,0,2714
Bath Fixed,16012951,6,2,SCB,10/06/2016,10:32,10/06/2016,10:47,LG,I113.0Tb,D,3,,5.0,M-,200,0,15,5152,4945,215,,23.00,,60.00,,25,,15,743477,4455118,74350.45510,743477,4455118,2,1.0,21,,20.7,,3.80,,756,,0.47,,6.8,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,102,,1,1,80,SVCP,538,T,,1,1644.00,,,,,,0,2714
RM 87,16011345,6,0,MCB-U,09/18/2013,11:50,09/18/2013,12:05,LG,D12.RS,D,3,,5.0,M-,200,0,15,5870,5880,210,,28.00,,60.00,,25,,15,717583,4432214,71760.43200,717582,4432214,2,1.0,22,,23.6,,1.10,,864,,,5,2.1,1,,,,,,0,3,0,0,0,0,0,0,0,0,,0,,208,,1,2,4,SVCP,542,T,,1,1589.00,,,,,,0,2710
Bath Fixed,16011454,6,2,SCB,08/01/2013,09:39,08/01/2013,09:54,LG,I113.0Ta,D,2,,5.0,M-,200,0,15,5275,5265,195,,27.00,,60.00,,25,,15,743477,4455118,74350.45490,743476,4455118,2,1.0,16,,23.8,,1.50,,738,,0.11,,5.0,,,,,,,0,2,1,0,0,0,0,0,0,0,,0,,219,,1,1,15,SVCP,540,T,1,1,,,,,,,0,2710
TREADWAY,16011601,6,1,BWC-S,09/25/2013,10:13,09/25/2013,10:28,LG,F305A.RS,D,3,,5.0,M-,200,0,15,5025,5070,195,,26.00,,60.00,,25,,15,722483,4438864,72250.43865,722482,4438864,2,1.0,13,,20.8,,0.90,,727,,0.01,,6.2,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,101,,1,1,3,SVCP,486,T,,1,1284.00,,,,,,0,2710
MATANZAS,16011618,6,1,BWC-S,09/27/2013,12:20,09/27/2013,12:35,LG,F167A.RS,D,3,,5.0,M-,200,0,15,3932,3900,260,,15.00,,60.00,,25,,15,746133,4458665,74615.45845,746132,4458665,2,1.0,17,,22.7,,0.90,,452,,0.01,,7.4,,,,,,,0,2,0,0,0,0,0,0,0,0,,0,,355,,1,1,24,SVCP,540,T,,1,1667.00,,,,,,0,2710
Peoria TWZ,16011689,6,2,TWZ,07/21/2014,08:23,07/22/2014,09:28,LG,I157.8Vb,M,1,,5.0,M-,,25,5,,,,,,,,,,,16,277612,4500954,,785074,4503093,2,1.0,33,,25.3,,0.80,,636,,0.57,,7.2,,,,,,,0,3,0,0,0,0,0,0,1,0,,0,,61353,,1,1,64,SVCP,20,T,1,5278,,,,,,,0,2711
